station_id,station_name,station_latitude,station_longitude
139,"Northeastern University - North Parking Lot",42.341814,-71.090179
157,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.336244448,-71.0879856348
NULL,NULL,NULL,NULL
